Date,Site,Subsite,Station,Genus,Species,Weight,Recapture,Sex,Tag_Number,Latitude,Logitude,Elevation,*NA_Exracted ,SNV ,Bartonella,Borrelia,Rickettsia,Notes,
11-Jun-14,5,3,5,Peromyscus,maniculatus,?,?,?,?,,,,,,,,,ESCAPED,
11-Jun-14,5,7,4,Peromyscus,maniculatus,17,Yes,Male,EAR 256,,,,,,,,,,
11-Jun-14,5,9,3,Peromyscus,maniculatus,18,No,Female, EAR 294,,,,,,,,,,
11-Jun-14,5,7,2,Peromyscus,maniculatus,13,No,Female,EAR 293,,,,,,,,,,
11-Jun-14,5,8,1,Peromyscus,maniculatus,24,Yes,Female,EAR 254,,,,,,,,,FLEAS PRESENT-- NOT COLLECTED,
11-Jun-14,5,2,2,Peromyscus,maniculatus,24,Yes,Female,EAR 260,,,,,,,,,PREGNANT,
11-Jun-14,5,9,5,Peromyscus,maniculatus,18,No,Female,EAR 292,,,,,,,,,,
11-Jun-14,5,9,6,Peromyscus,maniculatus,19,No,Female,291,,,,,,,,,,
11-Jun-14,5,8,3,,VOLE,18,No,Male,EAR 290,,,,,,,,,,
11-Jun-14,5,8,2,Peromyscus,maniculatus,24,Yes,Female,EAR 257,,,,,,,,,,
11-Jun-14,5,3,6,Peromyscus,maniculatus,22,Yes,,EAR 263,,,,,,,,,,
7-Jul-14,7,2,16,Tamias,dorsalis,65,No,Female,89530,,,,,,,,,LACTATING,
7-Jul-14,7,2,11,Tamias,dorsalis,45,No,Male,89536,,,,,,,,,,
7-Jul-14,7,2,16B,Callospermophilus,lateralis,205,Yes,Male,92838,,,,,,,,,,
7-Jul-14,7,2,17,Tamias,dorsalis,60,No,Male,89581,,,,,,,,,,
7-Jul-14,7,2,23,Tamias,dorsalis,65,No,Male,89553,,,,,,,,,,
7-Jul-14,7,1,7,Tamias,dorsalis,75,No,Female,89533,,,,,,,,,,
7-Jul-14,7,1,16,Tamias,dorsalis,60,No,Female,89517,,,,,,,,,LACTATING,
7-Jul-14,7,1,3,Tamias,dorsalis,65,No,Male,89564,,,,,,,,,,
7-Jul-14,7,1,6,Tamias,dorsalis,65,No,Male,89542,,,,,,,,,,
7-Jul-14,7,1,21,Tamias,dorsalis,65,No,Male,89551,,,,,,,,,FLEAS,
7-Jul-14,7,1,22,Tamias,dorsalis,70,No,Male,89506,,,,,,,,,,
7-Jul-14,7,1,11,Tamias,dorsalis,69,No,Male,89574,,,,,,,,,,
7-Jul-14,7,1,24B,Tamias,dorsalis,76,No,Male,89525,,,,,,,,,,
7-Jul-14,7,2,8B,Tamias,dorsalis,69,No,Male,89556,,,,,,,,,,
7-Jul-14,7,2,6,Tamias,dorsalis,66,No,Male,89505,,,,,,,,,,
7-Jul-14,7,2,10,Tamias,dorsalis,67,No,Male,89568,,,,,,,,,,
7-Jul-14,7,2,8,Peromyscus,maniculatus,19.5,No,Female,EAR 284,,,,,,,,,,
7-Jul-14,7,2,21,Peromyscus,maniculatus,15.5,No,Male,EAR 243,,,,,,,,,,
7-Jul-14,7,1,24,Peromyscus,maniculatus,12,No,Male,EAR 285,,,,,,,,,,
8-Jul-14,7,2,17,Tamias,dorsalis,64,Yes,Male,89536,,,,,,,,,,
8-Jul-14,7,2,20,Tamias,dorsalis,65,Yes,Female,89530,,,,,,,,,,
8-Jul-14,7,2,25,Tamias,dorsalis,70,Yes,Male,89506,,,,,,,,,,
8-Jul-14,7,2,23,Tamias,dorsalis,64,No,Male,89554,,,,,,,,,SCROTRAL,
8-Jul-14,7,2,22,Tamias,dorsalis,82,No,Male,89577,,,,,,,,,ESCAPED,
8-Jul-14,7,2,21,Tamias,dorsalis,60,Yes,Male,89505,,,,,,,,,,
8-Jul-14,7,2,6,Tamias,dorsalis,,,,,,,,,,,,,ESCAPED,
8-Jul-14,7,2,11,Tamias,dorsalis,60,Yes,Male,89581,,,,,,,,,,
8-Jul-14,7,2,15,Tamias,dorsalis,60,No,Male,89538,,,,,,,,,,
8-Jul-14,7,1,22,Tamias,dorsalis,65,Yes,Male,89551,,,,,,,,,,
8-Jul-14,7,1,23,Tamias,dorsalis,65,Yes,Male,89542,,,,,,,,,,
8-Jul-14,7,1,21,Tamias,dorsalis,78,No,Male,89580,,,,,,,,,SCROTRAL,
8-Jul-14,7,1,3,Tamias,dorsalis,60,No,Female,89517,,,,,,,,,,
8-Jul-14,7,1,11,Tamias,dorsalis,75,Yes,Female,89533,,,,,,,,,,
8-Jul-14,7,2,19,Neotoma,mexicana,160,No,Female,89548,,,,,,,,,LACTATING,
8-Jul-14,7,2,24,Peromyscus,maniculatus,19.5,Yes,Female,EAR 284,,,,,,,,,,
8-Jul-14,7,2,8,Peromyscus,maniculatus,14,No,Female,EAR 288,,,,,,,,,PREGNANT,
8-Jul-14,7,1,24,Peromyscus,maniculatus,12,Yes,Male,EAR 285,,,,,,,,,,
8-Jul-14,7,1,5,Peromyscus,maniculatus,9,No,Male,EAR 282,,,,,,,,,SCROTAL,
16-Jul-14,6,2,13,Neotoma,mexicana,240,No,Male,89558,,,,,,,,,SCROTAL,
16-Jul-14,6,2,5,Neotoma,mexicana,142,No,Male,89589,,,,,,,,,,
17-Jul-14,6,2,13,Neotoma,mexicana,200,No,Female,89588,,,,,,,,,PREGNANT,
17-Jul-14,6,4,5,Peromyscus,maniculatus,,Yes,,EAR 283,,,,,,,,,,
